"Carimbo de data/hora","As respostas fornecidas serão mantidas em sigilo, conforme a disposição da Lei Geral de Proteção de Dados (LGPD). Com base nisso, você está de acordo com o uso das informações fornecidas para fins de pesquisa? ","Qual sua faixa etária?","Em qual cidade você reside atualmente?","Qual gênero você se identifica?","Com qual frequência você pratica esportes?","Qual(is) esporte(s) você pratica? ","Quais desses de eventos esportivos promovidos em sua cidade você já participou?","Você participa ou já participou de algum grupo, equipe ou projeto esportivo em sua cidade?","Quais dessas dificuldades você já enfrentou para encontrar pessoas para praticar esportes em grupo?","Como você encontrou o seu grupo esportivo local?","Qual(is) desses site(s) e/ou aplicativo(s) você utiliza para auxiliar na sua prática esportiva?","Que tipo de conteúdo/recursos você acredita que mais ajudaria na sua prática esportiva? ","Por qual motivo você não pratica esportes?"
"2025/08/07 8:31:37 PM GMT-3","Sim","14 – 18 anos","Campo Limpo Paulista","Masculino","3 a 5 vezes por semana","Vôlei;Futebol","Campeonatos escolares;Torneios comunitários (vôlei, futebol, basquete etc.);Atividades esportivas em praças ou parques promovidas pela prefeitura","Sim, em equipe escolar (escola ou ETEC);Sim, em time de bairro ou comunidade;Sim, em projeto social ou público de incentivo ao esporte;Sim, em grupo informal de amigos para práticas esportivas;Sim, em academia ou centro esportivo privado","Horários incompatíveis com outras pessoas;Falta de divulgação de grupos ou eventos esportivos;Falta de locais apropriados ou próximos para a prática esportiva","“Boca a boca”;Moro perto","Não uso nenhum aplicativo","Agenda de eventos;Localização de eventos;A quadra mais próxima a você;Ranking ou gamificação",""
"2025/08/07 8:51:09 PM GMT-3","Sim","14 – 18 anos","Várzea Paulista","Masculino","1 a 2 vezes por semana","Vôlei;Musculação","Não participei, mas fiquei sabendo de alguns","Não, e não tenho interesse no momento","Insegurança ou receio de praticar com desconhecidos","Não participo de nenhum grupo","Hevy;MyFitnessPal","Agenda de eventos;Grupos de prática esportiva",""
"2025/08/07 9:18:01 PM GMT-3","Sim","14 – 18 anos","Campo Limpo Paulista","Masculino","Raramente","Futebol;Basquete;baseball ","Campeonatos escolares;Torneios comunitários (vôlei, futebol, basquete etc.)","Sim, em grupo informal de amigos para práticas esportivas;Sim, em academia ou centro esportivo privado","Horários incompatíveis com outras pessoas;Falta de locais apropriados ou próximos para a prática esportiva","“Boca a boca”","Não uso nenhum aplicativo","A quadra mais próxima a você",""
"2025/08/07 9:24:53 PM GMT-3","Sim","14 – 18 anos","Várzea Paulista","Masculino","3 a 5 vezes por semana","Futebol;Musculação","Campeonatos escolares;Corridas de rua ou caminhadas;Eventos promovidos por academias ou clubes locais","Sim, em equipe escolar (escola ou ETEC);Sim, em grupo informal de amigos para práticas esportivas;Sim, em academia ou centro esportivo privado","Nunca procurei por grupos para praticar esportes","Não participo de nenhum grupo","Hevy;GymRats","Agenda de eventos;Ranking ou gamificação;Notícias e dicas",""
"2025/08/07 9:37:04 PM GMT-3","Sim","14 – 18 anos","Campo Limpo Paulista","Feminino","Todos os dias","Vôlei;Musculação","Campeonatos escolares;Torneios comunitários (vôlei, futebol, basquete etc.)","Sim, em equipe escolar (escola ou ETEC);Sim, em projeto social ou público de incentivo ao esporte;Sim, em grupo informal de amigos para práticas esportivas;Sim, em academia ou centro esportivo privado","Falta de amigos ou conhecidos interessados em praticar esportes;Falta de divulgação de grupos ou eventos esportivos;Insegurança ou receio de praticar com desconhecidos","“Boca a boca”","Não uso nenhum aplicativo","Agenda de eventos;Localização de eventos;Grupos de prática esportiva;Mural de recados",""
"2025/08/07 10:16:30 PM GMT-3","Sim","14 – 18 anos","Campo Limpo Paulista","Feminino","3 a 5 vezes por semana","Musculação","Não participei, mas fiquei sabendo de alguns","Sim, em projeto social ou público de incentivo ao esporte","Horários incompatíveis com outras pessoas;Insegurança ou receio de praticar com desconhecidos","Não participo de nenhum grupo","Hevy;GymRats","Agenda de eventos;Grupos de prática esportiva;Notícias e dicas",""
"2025/08/12 6:19:33 PM GMT-3","Sim","14 – 18 anos","Campo Limpo Paulista","Feminino","Raramente","Vôlei;Corrida","Campeonatos escolares;Corridas de rua ou caminhadas;Torneios comunitários (vôlei, futebol, basquete etc.);Atividades esportivas em praças ou parques promovidas pela prefeitura","Sim, em equipe escolar (escola ou ETEC);Sim, em time de bairro ou comunidade;Sim, em projeto social ou público de incentivo ao esporte;Sim, em grupo informal de amigos para práticas esportivas","Falta de amigos ou conhecidos interessados em praticar esportes;Horários incompatíveis com outras pessoas;Insegurança ou receio de praticar com desconhecidos","Redes sociais;“Boca a boca”","Não uso nenhum aplicativo","Grupos de prática esportiva",""
"2025/08/16 12:29:25 PM GMT-3","Sim","14 – 18 anos","Jundiaí","Feminino","3 a 5 vezes por semana","Musculação;Natação ","Não participei, mas fiquei sabendo de alguns","Não, e não tenho interesse no momento","Horários incompatíveis com outras pessoas","Não participo de nenhum grupo","Não uso nenhum aplicativo","Notícias e dicas",""
"2025/08/19 4:40:25 PM GMT-3","Sim","14 – 18 anos","Campo Limpo Paulista","Masculino","Raramente","Basquete;baseball","Campeonatos escolares;Torneios comunitários (vôlei, futebol, basquete etc.);Atividades esportivas em praças ou parques promovidas pela prefeitura;Eventos promovidos por academias ou clubes locais","Sim, em time de bairro ou comunidade;Sim, em grupo informal de amigos para práticas esportivas;Sim, em academia ou centro esportivo privado","Horários incompatíveis com outras pessoas;Falta de locais apropriados ou próximos para a prática esportiva","Redes sociais;Site;“Boca a boca”;Não participo de nenhum grupo","Não uso nenhum aplicativo","Localização de eventos;A quadra mais próxima a você;Ranking ou gamificação",""
"2025/08/19 4:59:11 PM GMT-3","Sim","14 – 18 anos","Jarinu ","Feminino","Nunca","","","","","","","","Falta de motivação;Falta de companhia;Falta de um local esportivo"
